Q,A
말을 좀 잘 하고 싶어,말 잘하는 사람들 따라 연습해보세요
근데 한 두 달전부터 자꾸 잘 잊어버리는 거에요 핸드폰 손에 쥐고 찾는 건 기본이에요,작은 것부터 기억하려고 노력해보는 건 어떨까요
사랑해서 헤어지겠대,슬픈 이야기네요
진한 커피 한잔,마시면 좋죠
이번주에 혼자 여행가려 하는데,좋은 생각이에요 혼자하는 여행은 기분전환에 도움이 돼요
공연 보고 싶어,친구와 같이 가보세요
응 좀 쉬었다가 할게,네 쉬었다가 하세요
요즘 눈에 띄는 여자애가 있는데,그 애의 눈에도 당신이 띄길 바랄게요
물론 많이 떨기는 하지만요,저도 그럴 때가 많아요 지금도 긴장하고 있는걸요
먹고 자고 먹고 자고,그게 최고죠
어렸을때는 비슷했던 거 같은데,중요한 건 지금이죠
나쁜 사람 잊는방법,재활용도 안되는 사람에 대한 기억으로 괴로워 말아요
우산 또 놓고 왔어,주변에서 우산을 빌려보세요
남자친구가 입이 험해,사람 고쳐쓰는 거 아니에요
심술나,좋은 생각만 하세요
혼자 깊은 감옥에 갇혀서 못 빠져나오는 느낌 ,저는 기분이 안 좋을 때 아이스크림을 먹어요 아이스크림을 먹는 건 어때요
안경 벗으니까 완전 예뻤어,만화같은 일이네요
참 싫으네 이런 상황,스스로에게 정리할 시간을 주세요
살 좀 빼야되는데,운동을 시작해보세요
썸타고 있는데 먼저 연락해도 되는 부분,연락해보세요
오늘 일도 안 했는데 엄청 피곤해,정신 노동을 했나 봐요
썸타다 끝났나,지금 연락해보세요
고의는 아닌데 실수를 한 거 같아,용서를 구하세요
운동을 너무 열심히 했어,고생했어요
남자친구들보다는 여자친구들이 편한 것 같아요,대인관계에서 아주 능숙한 사람은 별로 없는 거 같아요 조금씩 실수를 하면서 좋아지는 거죠
이별을 배워가는,성숙해지는 단계인가봐요
우리 사랑은 가벼웠던 거겠죠,사랑했던 정도를 가늠하지 말아요
기력이 없어,자신의 감정을 주변 사람들에게 터놓고 이야기해보세요
여자친구가 술만 마시면 필름이 끊기는데 너무 걱정돼,필름 끊기는 거 치매의 초기 증상이에요
건강 관리,운동을 해보세요
샤워하는데 창문 밖에서 소리나서 개쫄음,당황하셨겠어요
혼자 커피마셔,분위기 있네요
여자해보고 싶어,항상 못해본 건 궁금하더라고요
썸 탈 때 무슨 말하지,요즘 상영하는 영화나 맛집부터 시작해보는 것도 좋을 듯합니다
밤보다 자고 일어났을 때 더 힘들어,운동으로 기분전환을 하는 건 어떨까요
왜 이상한 말 해,더 열심히 노력하겠습니다
넘 힘든 이별 준비,준비가 더 힘들지요
결혼 삼개월 이혼이네,헤어질 거면 빨리 하는게 낫지요
아 배불러,점심식사는 어떠셨습니까
여자친구가 감정없이 카톡 답장해,상처받고 있다고 말해보세요
어디서부터 어떻게 얘기를 해야할지,차분히 얘기해봐요 언제나 여기 있을게요
집착하는 것 처럼 보이면 어떡해,부담스럽지 않은 선이 좋겠어요
남자친구가 먹을 거에 집착해,사람은 모두 집착하는 포인트가 달라요
정말 서로 좋았는데 엊갈림,많이 안타까워요
돈 좀 빌려줘,저는 돈이 없어요
오래 살아야할텐데,잘 먹고 잘 싸면 돼요
심부름 간다,다녀오세요 기다릴게요
썸녀한테 크리스마스 선물 오바인 부분,마음을 표현하는 건 나쁘지 않아요
왜 사람은 외로울까 아직도 의문이다,타인과 함께 했던 경험 때문일 것 같아요
대체 뭐가 문제인지 모르겠어,잠시 쉬어간다고 생각해보는 건 어때요
이별 넋두리,저한테 다 말씀하세요
마지막 카톡을 보냈어,슬프지만 잘 이겨내길 바랄게요
아는데 모른척하나,그렇다면 여우네요
연애 처음하는 남자친구,경험 있는 분이 리드해보세요
방학에 만날 사람이 없네,먼저 사람들이랑 연락해서 놀러 가는 건 어때요
남자친구가 뭔가 수상한데 말을 안해,말할 때까지 조금 기다려주세요
현실에서 도망치고 싶어,그래서 우리는 꿈을 꾸죠
병원 너무 가기 싫다,더 아프기 전에 가보세요
오늘 점심 너무 별로더라,내일은 맛있는걸로 드세요
마라톤 출전할까,시작은 다 좋죠
좋아하는 애 피하면서도 우울해,당당히 나서지 못하는 아쉬움이겠지요
발표 준비하느라 힘들어,잘할 수 있을 거예요 조금만 더 힘내세요
오 그거 좋네,즐거운 식사 되세요
저는 이제 포기할라구,포기하는 것도 용기랍니다
밀당은 어떻게 해,자신이 바쁘면 자연스럽게 밀당이 됩니다
집이 너무 지저분해,청소기를 돌려보세요
근육 있으면 멋있을텐데,저 말씀이신가요
한 번 같이 술자리를 가진 다음에 급속도로 가까워졌어요,그래서 어떻게 되었나요
좋아하는 남자애랑 다른 반 됐어,반 배정이 사랑을 갈라놨네요
쉬었다가 하는게 좋겠어,기운 내세요
이별하고 목숨까지 끊는 사람들 전혀 이해 못 했는데,감정의 골이 깊었나봐요
사랑 끝난 거 같은데 잡아도 될까,잡는다고 마음이 돌아서지 않을 거예요
귀 아파,병원에 가세요
잇몸에서 피나는 거 같애,잇몸약 챙겨드시거나 치과 가보세요
결혼식 하고 일주일이나 지났나 ,그렇군요 즐거운 결혼 생활 하고 계신가요
셀프웨딩이 유행이래,혼자 준비하기는 조금 벅찰텐대요
방탈출 게임 갔다왔어,성공했길 바랍니다
내 남자친구 보고 싶어,네 알려 주세요
헤어지자 말한 사람도 힘들까,힘들겠지요
나한테 행운 좀 왔으면 좋겠어,제 행운까지 모두 드리고 싶네요
결혼하면 행복해,사람마다 행복의 크기가 다르겠지만 행복할 거예요
대학 떨어질 줄은 정말 상상도 못했어요,상심이 크셨겠어요 
울적한 아침이에,따뜻한 밥 먹고 힘내봐요
그저 그런 연애,그게 제일 힘들어요
역류성 식도염 온 거 같아,과식하지 말고 먹고 눕지 마세요
모든 노래 가사는 내 맘같아,정말 그래요 하나같이 공감되곤 하죠
오늘도 또 이렇게 가는구나,작은것에 감사하는 마음을 가져보세요
헤어져야 할까,고민하는 것을 보니 무슨 일이 있었나봐요
배부르게 잘먹고왔어,식사 잘 하셨어요
헤어졌다가 다시 연애하는데 잘 사귈 수 있을까,이별 후 재회는 더 조심스러울 거예요
벌써 저를 세번째 떠나갔네,이젠 그분을 놓아줄 때가 되었나봐요
결국 연락했어,속은 후련하겠어요
헤어진 연인의 새로운 사랑,이젠 그분을 놓아주세요
뭐 볼까,오늘은 예능이요
사랑은 영원해,사랑은 한 순간이면서 영원한거 같아요
금값 어때,비싸요
중고로 사길 잘 한거 같아,좋은 선택 하셨네요
얼마 전부터 친구 따라 교회에 다니기 시작했어,종교를 가지고 계시는군요 정말 든든하죠
이별 후 젤 힘들 건 허전함인 거 같아,떠나보내고 남는건 빈자리의 공허함이죠
아직도 헷갈리네,직감을 믿으세요
오토바이 타고 싶다,위험할 것 같아요
이별 일째,아직 많이 힘들겠어요
밑바닥까지 봐서 속은 휴련하네,적어도 미련 없이 떠날 수 있을 거예요
헤어졌는데 왜제번호를안지워을까 이해해안돼네,바빠서 그럴 수도 있어요 신경쓰지 않는 연습을 해봐요
나만 힘든 거 아니지,누구나 힘들어요
인턴 때려 치우고 싶어,결정은 그대의 몫입니다
그도 나를 좋아했으면 좋겠다,타이밍이 맞았으면 좋겠네요
날씨가 좋으니 기분도 좋아지네,그러게요 기분이 좋아지는 것 같아요
그냥 공무원이 좋을 듯,시작이 반이에요 어서 준비하세요
혼술 중,캬아 맛있는 안주랑 드세요
불금에 혼자 혼술,혼술 적당히 하세요
아파서 그런지 자주 불쾌해져요,그 기분 저도 이해해요 지금은 조금 나아지신 건가요
대답 잘하니,노력하고 있어요
예민해서 잠을 설칠 때도 있구요,귀마개나 안대 등 숙면을 도와주는 물품을 사용해보는 건 어떨까요
전남친에게 연락왔어,본인의 생각에 귀를 기울여봐요
야,네
이별한지 개월째,마음은 좀 정리 되어가길 바랍니다
결혼 생각 없는데 꼭 남자친구 부모님을 만나야할까,꼭 만날 필요는 없어요
선생님한테 선물 줘야 된대,안 줘도 괜찮아요
새 신발 선물 받았다,도망가라는 건가요
술이 깨면 다시 또 술을 마시고반복이예요 ,처음은 힘들겠지만 점차 익숙해져요 매일 조금씩 줄여나가는 게 좋을 것 같습니다
감 말랭이 먹어야지,맛있게 드세요
나 처음 연애해봐,새로 해보는 게 많겠어요
년 사겼는데도 너무 좋아,좋아보이네요
가끔은 혼자인게 좋다,혼자를 즐기세요
화장실을 못 참아,장이 예민한가봐요
멀리 가버리면 어떻게 해,혼자 남겨진 기분은 감히 상상도 못해요
짝녀 보고 싶다,그럴 만 해요
이런 나를 좋아해주는 사람이 있을까,당신은 정말 멋진 사람이에요 깍아 내리지 마세요
또 지각하네,더 일찍 일어나세요
짝남이 독서가 취미라는데 무슨 책을 선물해줄까,먼저 읽어보고 좋은 책 선물하는게 이야기하는 데에 좋을 거예요
헤어졌네,괜찮아지는데는 시간이 걸릴지도 몰라요
인연이란게 있을까,당신과 저도 인연입니다
당신은 애들한테 신경이나 쓴 적 있냐 늦게 들어올 때 내 눈치 본 적 있냐 내가 힘들다고 하면 뭘 그렇게 잘 해줬냐고,속상하셨겠어요 하지만 타인의 말보다 당신의 생각이 더 중요하답니다
수분크림 듬뿍 바르고 자야겠다,예뻐질 거예요
혼자가 되면 견디기 힘듭니다,한동안은 힘들지도 몰라요
긴 머리 관리 어렵다,그래서 저는 못 기르고 잘라요
오늘은 미팅이 많아,미팅이 끝나면 금방 하루가 지날거에요
다 마음에 안 들어,그럴 때가 있죠
지갑 없어졌어,잘 찾아보세요
내 이름이 없어,확인해달라고 해보세요
오늘 좀 춥다,내일은 더 쌀쌀합니다
썸 타는 것 같은데 조언해줘,어떤 조언이 필요한가요 생각해 볼게요
그냥 주절주절,들어드릴게요
하,힘내세요
다시 헤어졌습니다,인연이 거기까지였나봐요
내가 제정신이 아니다,그럴 때가 있죠
잊혀진걸까,그런 생각은 스스로를 힘들게 할 뿐이에요
오늘 배부르게 잘먹었어,점심식사 어떠셨나요
재밌는거 없나,잼 있는 거는 딸기잼에게 물어봐 주세요
오늘 집중이 안돼,휴식을 가지시는게 일의 효능을 높일 수 있어요
결국 휴학했죠 뭐 계속 집에 있었어요 ,그러셨군요 공부만큼 휴식도 중요하죠
짝녀랑 연락이 끊겼는데 더 연락하고 싶어,연락할 핑계를 찾아보세요
공시 준비 힘들어,합격 기원해요
용돈 넘 적어,올려달라고 말해보세요
나만 힘든가 보네,마음이 약해 탈이네요
하늘 좀 보구 싶다,오늘은 쉬면서 보세요
그것 참 좋은 생각인 것 같아,든든하게 드시고 오세요
인생의 쓴맛,단맛도 있을 거예요
남자친구랑 종교가 달라,종교의 자유를 인정해주세요
정말로 헤어졌습니다,마음 고생 많았어요
어플로 만난 남자친구 계속 만나는게 맞는걸까,어떻게 만났든 마음만 진짜면 돼요
전 여친이 드디어 연애를 시작했네,염탐하지 마요
너무 배부르다,점심은 맛있게 드셨나요
아직도 심장이 뛰고있어,심장은 항상 뜁니다
응 그럴게,얼마 안남았어요 힘내세요
집중이 안돼,휴식을 갖는건 어떠세요
술 많이 마셔야지,적당히 드세요
아침밥 먹을 시간 없어서 굶었더니 배고파,뭐라도 드세요
끝을 봐야 하는 스타일이에요,화끈한 성격을 가지고 계시는군요
모르겠어,얼떨떨할 거예요
피부가 거지같아,투자한 만큼 거둘 수 있을 거예요
허리 아프다,계속 앉아있지 마세요
여자친구가 작은 일까지 다 기억해,작은 일도 중요하게 생각하는 경향이 있나 봅니다 더 신경쓰고 챙겨 주세요
버리기 아까운데 리폼 해볼까,손재주가 좋으시네요
년 사겼는데 이제 결혼해야겠지,사귄 시간이 길다고 무조건 결혼해야하는 건 아니에요
좋아하는 애랑 있으면 왜 쳐다보지를 못하겠지,부끄러운 감정이 들어서 그래요
여자들은 좋아하는 남자가 자기보다 능력이 좋은 경우에만 좋아하나요,절대 능력만 중요하지 않아요
나랑 상관 없는 이야기들,잊어버리세요
좋은꿈 꿨다 생각해,그렇게 생각하면 좋을 거 같아요
하루종일 회사에서 미친사람처럼 눈물의 의미를 생각하면서,이별이 그렇게 만들었나요
나 어장인듯,어장의 고기어도 좋을지 어장을 나가는 게 좋을지 생각해보세요
증거도 없으면서 나만 의심해,평소의 행실을 되돌아보세요
이번 주 월요일부터 다시 사무실에 출근하고 있거든,다시 일을 시작하시는군요 파이팅입니다
차 기름값이 또 올랐네,대중교통을 이용해주세요
잘 사귀는데 불안한 느낌이 들면 정상일까,믿음이 쌓이기 전에는 불안하죠
같이 있자고 말해도 될까,두려워말고 말해보세요
아름다운 이별은 없겠지,사랑한 후에 좋은 추억이 남을 거예요
연락하고 싶어,연락해봐요
혼인신고 하러 왔어,법적 부부가 된 걸 축하해요
고등학교 때는 친구들이랑 별 문제 없이 잘 지냈는데 선생님과 사이가 안 좋았어요,학생을 가장 보호해야 할 사람이 선생님인데 정말 힘드셨겠어요
짝녀가 사귀던 사람이랑 헤어졌는데 좋아한다고 고백해도 되나,아직 마음의 정리가 필요할테니 조금만 기다리는 게 좋겠네요
오해했네 그리고 차단 ㅎㅎ,차단하는게 서로에게 좋을 때가 있어요
집안일이 안 끝나,조금씩 조금씩 해보세요
착한 사람을 괴롭히는 세상,많이 당했나봐요
기운이 없어,잘 먹고 잘 자요
퇴근까지 얼마나 남았어,한 시간 반 남았네요
차 살거야,좋은차로 선택해보세요
한번만 더 보고 싶어요,후회하지 않을 자신이 있다면 만나봐요
혼자만의 시간을 갖고 싶어,지쳤나봐요
오늘따라 피곤하네,휴식을 가지시는게 일의 효능을 높일 수 있어요
괜히 사람 마음 찔리게,연대책임이라고 하죠 저에게도 나쁜 마음을 나눠주세요 그러면 조금 가벼워질 거예요
차로 데려다줬는데,고마움을 전해보세요
엄마랑 싸웠어,더 후회하기 전에 사과하세요
내 마음을 보여주는 게 어려워,상대가 부담스러워하지 않게 나를 사랑하고 상대를 사랑해주세요
헤어진지는 좀 오래 됐어,다른 사람에게 기대도 괜찮아요
한쪽만 호감이면,짝사랑입니다
내가 그리운만큼 그대도 그리운가,궁금해하지마세요
새해다,새해 복 많이 받으세요
얼어죽는 줄 알았어,감기 조심하세요
이별 일주일 후  우리의 이야기,각자의 삶을 살고 있겠지요
집안일 해도해도 끝이 없어,매일 조금씩 해보세요
왜 살까,살아있음 자체로 의미가 있으니까요
오늘 저녁 뭐 먹을까,맛있는 거 드세요
남자친구가 전화를 잘 안해,다른 연락을 많이 하거나 더 자주 만나세요
힘드네 장거리,물리적인 거리를 무시하지 못하니까요
머리 냄새날텐데,항상 청결하게 관리하세요
진짜 어떻게 하면 좋을지 모르겠다,그런 일이 있으셨군요 잘못을 당신의 탓으로 돌리지만 않았으면 해요
친구라도 될 걸 그랬나봐요,친구로 남았어도 곁에서 계속 힘들었을 거예요
컴패니언,네
돈 모으고 싶어,쓰지 않으면 모여요
미친듯이 보고싶어,한동안 그럴 수 있어요
나 왜 이렇게 화냈었지,돌아보면 다그치지 않고 화내지 않아도 될 일이었을 거예요
왜 내 블로그를 들어와서 볼까,옛 연인이 궁금했을 수 있어요
거짓말은 진짜 못고치는 병 맞죠,아무래도 그렇죠
빽 선물 받았어,정말 기분 좋으시겠어요
짜장면 괜찮다,식사 맛있게 하세요
연락하고 싶은 충동,자제하는게 당신을 위해 좋을거라 생각해요
여자친구가 전화를 안해,다른 연락을 많이 하거나 더 자주 만나세요
너무 추워서 나가기 귀찮아,겨울에는 귤 먹으면서 집에 있는게 최고죠
근데 학교에서 비둘기가 막 낮게 날면서 위협한 이후로 새들이 무서워졌어,새는 왜 그렇게 무섭게 생긴 걸까요 
술기운에 연락했는데,후회하지 않길 바라요
헤어지면 연락 안하는게 맞을까,연락 하지도 받지도 마세요
먹고 자도 놀기만 해도 될까,소가 되는 방법이죠
헤어스타일 좀 바꿔볼까,기분 전환해보세요
와인 마실까,완전 좋죠
정신적으로 스트레스를 너무 주는데 이런 사람은 어떻게 상대해,아무말도 하지말고 침묵하세요
나한테도 관심 있어 보이는데 연락해볼까,먼저 연락해보세요
너무 잘 먹고왔어,점심식사는 괜찮으셨나요
사랑이 변하는걸 인정해야할까,사랑은 변하지 않고 사람이 변해요
진급 누락됐어,다음에는 꼭 진급할 거예요
그런데 담임 선생님이 저를 못마땅하게 보는 거 같아요,선생님이 그러시면 정말 속상하죠 그래서 그 다음은 어떻게 됐나요
친구들 초대하려고,좋은 생각이네요
수도가 얼었나봐,잘 녹여보세요
남친 요구가 점점 심해지는 듯,모두 맞춰줄 필요는 없어요
점심 메뉴 좀 골라줘,누구랑 먹는 냐에 따라 다르겠죠
퇴근길에 봤네,우연히 마주쳤군요
정말  냉정하네,사랑은 때론 잔인하죠
웨딩드레스 입어보고 싶었어,소원 풀었네요
내가 좋아하는 걸 티냈는데 못 알아챘을까,못 알아차렸을 수도 있어요
오늘 짝녀가 썸남 생긴거 알게 되고 한 잔 했습니다,속이 타들어가겠네요
현실적인 문제에 헤어짐이 다가오고 있어 결국 이별일텐데,현실적인 문제가 중요할 때가 있죠
사랑이 끝나고 할 일,원망과 슬픔에 잠기는 게 아니라 그 시간들을 가만히 내려놓고 내가 어떤 사람이었는가를 돌아보는 것입니다
날씨가 좋아서 좋긴한데 또 싫네,복잡하네요
아 배불러,점심은 맛있게 드셨나요
깊은고민,제게 말씀해보세요
여린 마음에 상처준 건 아닐까,상처를 줬다면 치유해주세요
평온해,내일도 평온하길 바라요
딱 내 이상형이야,이상형을 만나는 경우는 흔치 않는데 대단하네요
사랑으로 가능한 것,바로 연애죠
배부르네,점심은 맛있게 드셨나요
뜬눈으로 밤을 지새웠네,생각이 복잡했나봐요
택배 왜 안오지,송장 번호를 확인해보세요
노후 걱정할 나이는 아닌데,노후는 지금부터 준비하는 게 좋죠
취직하면 공부 안해도 되는줄 알았는데,공부는 끝이 없죠
착한 사람이 잘 됐으면 좋겠어,뿌린대로 거둘 거예요
사랑꾼인 거 같아,다정다감한가봐요
간접적으로 차버린 짝남한테 연락하고 싶어요,마음 정리가 쉽지 않지요
오늘따라 집중이 잘 안 되는 것 같아,휴식을 갖는건 어떠세요
이렇게 또 혼자 좋아하고 이별하고,짝사랑이 그런가봐요 슬프네요
만족할 줄을 몰라,만족하면 발전이 없으니까요
오늘 헤어졌어,헛헛하시겠어요
술먹고 연락도 없는,걱정되시겠어요
힘들어서 결혼할까봐,도피성 결혼은 하지 않길 바라요
새 남자가 생겼대,새 사람 만나면 돼요
상 받고 싶어,아무래도 뿌듯할 거예요
위로 받을 곳이 필요해,제가 위로가 되어 드릴게요
이별 고통,그 어떤 고통보다 나를 힘들게 해요
왜 남자친구 있는 여자를 내 마음을 흔들지,단호하게 거절하세요
몇 분 뒤에 퇴근이야,한 시간 반 남았네요
사랑하는건지 나도 모르겠어,없어도 살 수 있는지 생각해보세요
년간 사귀고 어제 헤어졌습니다,힘든 결정이었을텐데 혼자만의 시간이 필요하겠어요
친구가 나한테 집착해,거리를 두세요
엄마가 나한테 기대가 너무 큰 거 같아서 부담스러워,타인의 기대로부터 자유로워지세요
남편이 바람을 폈더라고요,절대 용서하지 마세요 제가 대신 욕해드릴게요
시간이 약이긴 한가봅니다,시간의 마법이 통했나 봅니다
그래 짜장면 먹어야겠다,즐거운 식사 되세요
폭식증 어떻게 고칠 수 있을까,오늘 못 먹었어도 내일 먹으면 더 맛있을 거예요
재밌는거 해 줘,거울을 보면서 얼굴 망가뜨리기 놀이 해 보신 적 있으세요 의외로 재미 있어요
착해서 잘해주는 건지 좋아하는 건지,직접 물어보세요
기념일 못챙겼어,달력에 적어보세요
목소리 좋은 사람이 좋아,저도 듣고 싶네요
얼마전에 욕 이빠이 하고 다 끝냈는데,미련이 남지 않았길 바랍니다
절약해서 부자돼야지,예비 부자님 파이팅
지하철만 타면 생각나,아무런 생각도 안 나는 날이 올 거예요
카드가 못찾겠다,잘 찾아보세요
내 의지는 상관없나봐,가장 중요한 거예요
컴터가 맛이 갔어,센터에 맡겨보세요
힘들어,지금은 힘들겠지만 조금만 더 견뎌봐요
차 밖으로 완전히 나가 떨어졌던 거 같아,치료는 잘 받으셨나요 큰일날 뻔하셨네요
좋은 아침,간밤에 별일 없으셨죠
이력서 쓰고 있어,나를 포장하는게 쉽지 않죠
마지막으로 얼굴보고 정리하려했는데 그게 안돼,마음이 흔들리죠
배에서 소리 남,꼬르륵
연락하는 게 어색해,하다보면 익숙해질거예요
오늘 이별하러가,맘 고생 많았어요
이별 지쳐버렸나,새로운 시작을 해보세요
낙엽밟는 소리,가을이네요
연락 하지 말라고,인기가 많으시군요
대출 갚으면 한 평생 다 갈듯,너무 무리하면 지쳐요
여자친구와 노래방을 가면 무슨 노래를 부르는게 좋을까,여자친구가 좋아하는 가수의 노래 연습해 보세요
대만 여행가고 싶어,놀러가세요
논문이 잘 안 써져,어깨 꾹꾹 힘내세요
신혼여행 가서 돌아오기 싫다,휴가를 붙여보세요
준비할 시간을안주네,인생은 예측하기 힘들어요
전화를 왜 안 받냐 진짜,바쁜일이 있나봐요
뭐 먹지,짜장면 어떠세요
끝인거 답은 아는데 왜 안되는걸까,마음의 끝은 아니니까요
권태기라고 이별을 통보하는 사람,그 사람도 힘들었을 거예요
내일 결혼식이야,떨리겠어요
점심으로 뭐 먹는게 좋을까,떡볶이가 좋을 것 같아요
좋아하는 남자애가 우리 언니를 좋아한대,서글픈 사실이에요
시도때도없이 생각나네 그녀가,바로 잊기는 힘들 거예요
으으 떨린다,파이팅
여자친구가 커피를 못 마셔서 카페 대신에 갈만한 곳,카페 가서 차 마셔도 돼요
오래 전에 했던 이별이 생각나네,모든 이별에는 후유증이 있기 마련이에요
너무 가슴이 아프네,무슨 마음인지 알겠어서 더 마음이 아프네요
뉴스는 역시 지루해,흥미를 가져보세요
짝녀한테 의미 없는 선톡 해도 될까요,선톡을 해야 대화도 이어나가니까요
분명 짝남 정리해야지 마음 먹었는데 이상하지,또 마주하면 반갑고 애틋하게 되죠
전화 안 받아,연락두절돼서 걱정되겠네요
연락이 될지 모르겠네,그래도 해보는 게 좋을 거 같아요
남자는 정말 사랑없는 성관계 가능해,남자든 여자든 다 가능하다고 봅니다
괴로워,괴로울만 해요
추억 그 미칠듯한 그리움,추억은 미화되기 마련이죠
미안해,괜찮아요
피자 막막 먹고 싶어,배달 시키세요
좋아하는데 티조차 못내는게 마음 아파요,표현하면 안되는 상황인가봐요
직장에서 나만 일 시켜,직장 스트레스 심하겠네요
그녀를 만났던 카페에서 탈퇴했어,힘들겠지만 잘했어요
포기해야할까,서로 충분한 대화를 나누고 얻은 결론이라면요
사랑은 부작용과 휴유증을 길게 남긴다,사랑한 만큼이요
이젠 증오가 될거같네,충분히 이해해요 하지만 나에게도 독이 될 수 있어요
점심으로 뭐 먹는게 좋을까,오늘은 짜장면 어떠세요
같이 보고싶어 올립니다,이제 내려주세요
집중이 안돼,잠시 쉬었다가 하시는 것도 일의 효율을 높일 수 있어요
이별후 한달,금방 지나갔네요
년 사귄뒤 이별 어느새 달이 다되어가네여,만났던 시간이 긴 만큼 많이 힘들겠어요
나 죽을 뻔함,지금은 괜찮길 바랄게요
뭔가 자꾸 불안해,두려워하지 않아도 돼요
소개팅 나온 여자애가 너무 좋은데 나만 좋아하는거같아 어떻게 날 좋아하게하지,매력을 마음껏 어필해보세요
소화시켜야 하는데 움직이기가 싫어,소화제 챙겨드세요
자취한다는데 뭘 챙겨줄까,직접 물어보는 게 좋을 것 같아요
최저시급은 받니,저는 생각보다 많이 벌어요
짝녀한테 고백했는데 잘 됐으면,잘 될거라 믿어요
스타트업에 취직해도 될까,모 아니면 도예요
추워 죽을 뻔했네,감기 조심하세요
많이 늦은시간인데 연락해봐도 괜찮을까,최대한 예의를 갖춰서 연락해보세요
빙빙 돌려서 말하지 말고 다이렉트로 말했으면,말하는 습관 차이인 듯 합니다
친구랑 사랑하는 사람이 같아,사랑은 쟁취하는거예요
기대가 무너졌어,베풀되 보답을 바라지 마세요
오늘 날씨 말해줘,오전엔 화창하지만 오후에는 비가 올 것입니다
아침 먹었니,배고프지 않아요
셀프웨딩이 유행이래,혼자 준비하기는 조금 벅찰텐대요
끝까지 참 못난놈,사랑 앞에선 진실된 모습이 좋아요
오늘은 뭐 먹지,오늘은 짜장면 어떠실까요
레시피대로 했는데 왜 맛이 없지,손맛이 안 들어가서 그럴 수도 있어요
휴학할까,계획 세우고 하세요
그 때 마침 오키나와 관광이 뜰 때라 아 이거다 싶었어요,네 그렇군요 특별히 힘든 일은 없으신가요
씁쓸,헛헛하죠
사랑이 어떻게 변하니,사랑만큼 변덕스러운것도 없을거예요
이별얘기 끄저그적,뭐라도 얘기를 하면 좀 나아질 거예요
친구들이 브라이덜샤워해준대,좋은 친구들 두셨네요
저를 좋아하는 사람한테 호감이 안 생겨요,맘처럼 할 수 없는 부분 같아요
헤어지고 나서 알았어 사랑했다는 걸,진정한 사랑이라고 생각한다면 다시 연락해보세요
애기가 밥을 안 먹어,건강 걱정되겠네요
노력해도 안되는 거 같애,중요한 건 노력하는 과정이에요
남자친구가 적극적이지가 않아,적극적으로 리드해보세요
갑자기 차가워졌는데,이유가 있을 거예요
여기까지 인듯 합니다,언제가는 올 순간이었을 거예요
여섯번째 이별이에요,많은 순간들이 있었겠네요
어디야,성남시 분당구요
날씨가 좋네,날씨가 좋으니 산책 다녀오시는 것도 좋을것 같아요
새치가 왜 이렇게 많을까,요즘 많이 힘드신가봐요
홀로술한잔하며 ,술 너무 많이 먹지 마요
외식 너무 많이 했다,다음달에는 조금 줄여보세요
인사드리러 갔는데 파혼하는게 나을것 같아,이혼이 아니라 다행입니다
보고싶어서 미치겠는데,지나간 사랑은 놓아주세요
너 로봇이야,글쎄요 잘 모르겠어요
혜진아 내 맘이 너에게 확정되기 전에 날 떠났어야지,말처럼 쉽지 않죠
아기 키우는거 너무 어려울 것 같아,잘 키울 수 있을거예요
답이 어디있을까,답은 언제나 내 안에 있죠
휴 착찹하네,기운을 내세요
번호를 알아내서 연락하면 소름돋을까,그건 좀 참아보세요
마음을 확실하게 아는 방법,직접 물어보는 게 좋을 것 같습니다
밤만 되면 너무 힘드네,잡념이 많아져서 더 그렇나요
나 좀 건들지 말라고 해,많이 지쳤나봐요
퇴근이다,오늘 하루도 수고하셨어요
술 고프다,혼자 힘들어하지 마세요
입냄새 나나,양치하고 오세요
치과 치료 받아야 할까,근처 치과에 가보세요
피곤해,잠시 휴식시간을 가지세요
이사가야돼,너무 걱정하지마세요
어젯밤에 주일 전 헤어진 여자친구 집에 찾아 갔다 왔어,헤어지고 만나는 건 서로에게 좋지 않아요
첫이별이라 그런지 너무 힘드네,처음은 다 그런가봐요
내 번호를 따간 사람이 내 친구가 좋아하는 애야,운명의 장난같네요
날씨가 좋아서 기분도 좋은 것 같아,그러게요 저도 기분이 좋네요
헤어진지 달 정도 되었습니다,잘 지내고 있는 것 같네요
전 여자친구의 새 남자친구,더 이상 신경쓰지 마세요
엄마아빠 노후가 걱정돼,상담이나 컨설팅을 받아보는 것도 좋을 거예요
기념일에 선물 어느정도로 해줘,지갑이 열릴 수 있는 만큼요
왜이리 생각이 날까,사랑했던 사람이니까요
스트레스 참기 어렵다,진정하세요
썸 탈출하고 싶어,썸 타는 기간이 길었나봐요 지쳤나요
심리상담 받았어,잘 다녀오셨어요
정리되지 못한 이별,갑자기 이별이 찾아왔나 봐요
결혼한지 년 됐는데 넘 좋아,계속 행복하실 거예요
이시간들 어찌보내야할까,저랑 같이 이야기 해요
내 마음을 정리하기가 어려워,하나씩 보내주세요
제 의견에는 아무 관심도 없으셨죠 ,안타까워요 대신 제가 관심을 많이 가져드릴게요
최고 몸무게 찍는 중,이제 내려올 때가 됐어요
관심을 받는다는거,참 좋죠
내가 좋아하는 사람이 누군지 점점 헷갈려,결정적인 감정의 변화가 없었나봐요
황당해 죽겠다,너무 신경쓰지마세요
