유저,구분
처음에는 군 선임이 강제로 데려간 거였고 나중에는 친구들이랑 간 거였어,배경/생활
작년에 우울한 기분이 없어지지 않고 쭉 지속된다는 걸 느끼고 이게 우울증인가 싶었어,배경/자각/우울증
학자금은 언제 다 갚나 아직도 몇 년은 더 남았는데 ,감정/걱정/경제적문제
내일 아침에 일어나지 못 하면 이라는 생각 정도는 했어,증상/죽음공포
어머니께 식당일 때문에 아무것도 못한다고 말씀 드렸더니 그만두고 내 일을 찾아가라고 하셨어요 ,배경/직장/고민/퇴사
특별히 힘든 일이나 그런 것도 없는데 왜 그런지 모르겠어요,배경/생활/양호
되게 아픈 날들이었는데 계속 생각하는 거 보면 그때가 좋았던 것 같아요,증상/반복사고
몇 년 전부터 세무사 시험 준비 중인데시험에 한번 떨어지고부터 자신감도 없어지고불안감이 생긴것 같아요,감정/불안감/미래
정말 몸도 마음도 힘들고 지쳐요,감정/힘듦
지금도 잘 지내고있고 아들이 너무나 대견했어요,배경/생활/양호
약간 좀 은혜 갚으라는 그런 식으로 말을 하는 거야,모호함
남편이 너는 뭐가 그렇게 매일 힘드냐고 비난조로 말을 하더라고요,배경/남편/갈등
아무리 생각해도 왜 그런건지 모르겠는데 물어보기도 뭣하고,감정/심란
그런 애들이랑 어울리다 보니까 학교도 거의 반 년 넘게 안 갔거든,배경/학교/결석
내가 아버지랑 사이가 안 좋거든,배경/부모/갈등/아버지
정말이지 비인간적이에요,감정/모호함
물건을 잃어버린 건 아닌지 가방 계속 확인하고,증상/반복행동/확인
딸내미가 기분 전환 하자고 영화를 보여줬는데 내용이 기억이 하나도 안 나고,증상/기억력저하
그 때 마침 오키나와 관광이 뜰 때라 아 이거다 싶었어요,배경/사업
애기가 쓰는 작은 선풍기가 있었는데 그이가 그걸 던진 거예요,배경/남편/폭력
친구와 술먹으면 항상 제가 돈을 내는게 당연시 됐어요,배경/음주
그런데 딸이 그 사실을 알게 됐어요,배경/자녀
그러고 난 다음에 미국으로 어학 연수를 갔어요,배경/유학
다리에 힘이 안 들어가고 못 걷겠어,증상/힘빠짐
화가 안 참아져,감정/감정조절이상/화
처음에는 그냥 살짝 밀치는 정도였거든요,배경/생활/폭행/피해
온종일 그 일에만 신경쓰고 있어,감정/신경쓰임
어떤 돌발상황이 발생할지 모르니까 너무 불안해요,감정/불안감
더 이상 살고 싶지 않아 ,감정/자살충동
남편이 나를 너무 사랑해서 매 순간을 감시하는 것 같아,증상/피해망상/감시/남편
화낼 사람은 누가 봐도 나 아니야,감정/화
이게 병인지 계절을 타는건지,모호함
저는 그대로인 것 같은데 많이 달라졌데요,증상/성격변화
그런날엔 잠도 못자고 밤을 새게 돼,증상/불면
이 병원 저 병원 다 가봤는데 시원한 소리를 하나도 못 들었어,치료이력/병원내원/이상없음
너무 불안해서 일을 할 수가 없어,감정/불안감
코가 막히는 거 같고 폐까지 숨이 안 들어가는 거 같고 가슴이 답답해요,증상/호흡곤란/가슴답답
거기에서 엄청 크고 깊은 동굴에 들어갔다 나왔는데 진짜 엄청 크더라고,감정/생각
진짜 찌질하지 않아요,감정/짜증
남들이 우리를 어떻게 생각할까 신경쓰게 되고 자존감이 낮아지는 것 같았어요 ,감정/자존감저하
충분히 화낼 만한 일인데 그냥 좀 서운해서,감정/서운함
요즘 이명이 너무 심해,증상/이명
무슨 말 하려고 했는지 금방 놓쳐버리고,증상/기억력저하
큰병이면 어쩌죠,증상/건강염려
숨을 못 쉬니까 가슴도 점점 갑갑해져요,증상/호흡곤란/가슴답답
회사는 제 상황을 봐주는 곳이 아니잖아요,배경/직장
방학 되면 그냥 집에 있었어요 아무것도 안 하고 ,증상/무기력/은둔
가끔씩 내가 내가 아닌 느낌이 들어,증상/이인감
근데 이거 때문인지 모르겠는데 요즘 자꾸 숨이 차,증상/호흡곤란
가만히 있는데 누가 내 이름 부른 것 같고 막 히히히 웃음 소리도 들리고,증상/환청
그냥 둘이 열심히 아끼고 살면 된다고 생각했어요,배경/생활
계속 이대로 살면 안 된다는 걸 잘 알면서도 극복이 쉽지가 않아요 마음이 너무 힘들어요,감정/힘듦
어렸을 때부터 생각했어요,배경/어린시절
공황증은 좀 괜찮아진 거 같은데 우울증이 생긴 거 같아,배경/자각/우울증
그래서 그만 생각하고 즐거운 일을 하자 싶어도 멍하니 있다가 생각이 그쪽으로 빠진다니까,증상/반복사고
기억력이 바닥이 난 것 같아요,증상/기억력저하
그렇지 않으면 호흡이 딸려요,증상/호흡곤란
내 인생에서 기억 나는 사람은 사실 아빠밖에 없거든,배경/부모/아버지
목이 머리를 지탱하지 못 하는 것 같은 그런 기분이 들어서,증상/신체이상/목
요즘 집중력이 많이 떨어진 거 같아요,증상/집중력저하
전체 회식 때 술을 거의 들이붓고서는 그 상태로 택시를 탔던 거 같아,배경/문제/과음
손 끝하나 움직이기 싫을 정도로 몸이 축축 처지고 하고 싶은 게 없어,증상/무기력/의욕상실
이번에 카페 알바를 하는데 같은 시간대에 명이나 같이 일하거든 ,배경/아르바이트
새벽 시가 되어도 잠이 안 와,증상/불면
칼을 보게 되면 그어볼까 싶고 그럼 기분 좋아질 것 같아서,모호함
남자친구는 아직 없어 ,배경/남자친구/없음
다리가 붓는 건 괜찮았는데 잠을 못자니까 두통이 오더라고요,증상/두통/불면
나만 피박 쓴 거지 뭐,감정/억울함
예민해져서인지 얕은 잠밖에 못 자,증상/불면/예민함
걔랑은 한 달 쯤 만났나 ,배경/남자친구/짧은교제
근데 얼마 전부터 누가 별점 테러 하고 악플 달고 그러는 거예요,배경/직장
그래도 뭔가 꽉 막혀 있는 것처럼 가슴이 답답해,증상/가슴답답
나한테 왜 그러지,감정/속상함
엄마랑 크게 싸운 다음부터 기분이 완전히 바닥을 쳤어요,감정/우울감
그래서 잠도 잘 못 자고 그랬거든요,증상/불면
병원 갔더니 저혈압이 심하긴 한데 그래도 죽을 정도는 아니래,치료이력/병원내원
저보다 훨씬 더 예쁘고 날씬한 여자애랑,부가설명
아무튼 그 일 있은 후로 그래도 잘 지냈는데 그 이후로 공황 발작이 왔어,증상/공황발작
깜빡깜빡 하는 일이 늘었어,증상/기억력저하
원래 새 봐도 별 느낌이 없었거든,감정/공포/새
한 세 달 동안은 침대에서 나오지도 않았던 것 같아,증상/은둔
이러다 말겠지 했는데 전혀 나아지질 않아요,현재상태/증상지속
기억력이 떨어져서 이제는 몇 달 전에 있던 일도 잘 생각이 안 나 ,증상/기억력저하
아쉽게 재수 준비한 건 잘 안 됐어,배경/대학/실패/재수
요즘 머리가 너무 아파,증상/두통
어렸을 때부터 부모님은 나한테 별 관심이 없었어,배경/부모/무관심
아정말 미치겠더라,감정/통제력상실
잘한 결정인건가 싶어요,모호함
어릴 때부터 남들보다 학습능력이 좋았어,배경/학업/우수
요즘 부쩍 스트레스를 많이 받아서 힘들긴 했어,감정/힘듦/스트레스
특별한 사건도 없는데 계속 화가 나,감정/화
남편 그 인간 분명 돈 빼돌려서 자기네 식구들한테 줬다니까 ,배경/남편/의심
어떻게 해야 할까,감정/걱정
근데 뭔가 억울해 왜 내가 희생을 했지 남편은 왜 안 하고,감정/억울함
갑자기 살이 많이 빠져서 엄마가 얼굴이 너무 안 좋다고 보약 지어 먹자고 그래,증상/체중감소
아직까지 큰 문제는 없다고 하는데 먹는 거나 생활할 때 신경 쓸 게 너무 많아,배경/건강문제
잠을 자도 개운하지가 않았어요 ,증상/불면/피로
나라는 사람은 뭐 때문에 이렇게 태어났을까,감정/부정적사고
하루는 정말 죽어버리려고 목을 맬 준비를 했었어요,증상/자살시도
입맛도 없어서 커피만 하루에 대여섯잔 마시다보니 살도 이나 빠졌어,증상/식욕저하/체중감소
남편이랑은 말이 안 통해,배경/남편/소통불가
그래도 우울한 기분은 쉽게 없어지지 않더라구요,감정/우울감/증상지속
너도 내가 한심하다고 생각해,감정/생각
집에 와서도 계속 생각나고 우울하고 그래요 한 이틀 가는 것 같아요,감정/우울감/증상지속
결혼도 엄청 빨랐어요 만난 지 개월 만에 했으니까,배경/결혼
내가 필요할 때 나한테 당장 달려올 수 있는 사람이 필요해,일반대화
난 너무 억울한 거야,감정/억울함
뭔가를 만진 것도 아니고 손이 더러운 것도 아닌데 씻는 거예요,증상/반복행동/손씻기
며칠 전에 친했던 언니와 완전히 틀어졌어,배경/대인관계/갈등
동네병원 응급실을 거의 매일 갔어요,치료이력/응급실
그냥 세상 혼자인 기분이야,감정/외로움
나한테 왜 하필 나한테 이런 일이 일어나나 싶고,감정/억울함
원래 긴장을 안 하는 성격인데어느 순간부터 너무 긴장이 되네요,감정/긴장
졸려서 누우면 갑자기 눈이 말똥해져,증상/불면
그럼 잠도 못자고 별의별 생각이 다 나요,증상/불면/생각많음
아침에 일어나면 도 보고 쇼핑도 하고 그럭저럭 잘 지냈어요,배경/생활/양호
편히 못 잘 때가 더 많아,증상/불면
눈이 높은건 아닌데 나만의 기준은 있는것 같아,배경/연애
그래서 그 돌아가는 판이나 실제 업무를 보고 싶었어요,모호함
근데 이젠 한계치인가 봐 하나도 안 무서워 한 번만 더 그러면 내가 죽여버릴 거야,감정/살인욕구
남들 두 배로 공부해야 겨우 중간 정도 유지하는데,배경/학업/부진
그 전에 병원을 다니면서 치료를 받긴 했는데 자세한 건 기억이 안 나요,증상/기억상실
그렇다고 안 씻을 수도 없는데 씻는게 이렇게 스트레스일 줄이야,배경/생활/스트레스
그래서 혹시나 불미스러운 일이 있으면 어쩌나 걱정이 돼,감정/걱정
내가 술을 진짜 많이 마시거든 거의 중독 수준으로,증상/알코올의존
저녁에는 전신에 근육통이라도 도진 거처럼 아파서 움직일 수가 없어,증상/통증/전신
가슴에 돌덩이 올려놓은 것처럼 답답하고,증상/가슴답답
심장이 입 밖으로 튀어나올 거 같고,증상/두근거림
일한 지 올해로 딱 년 됐네요,배경/직장
저 딴에는 진짜 잘하고 있는 건데 작년에는 저보고 큰며느리로서 뭘 그렇게 짜다리 잘한 게 있냐고 뭐라고 하시고,배경/시댁/갈등/시어머니
엄마가 응급처치는 잘 됐는데 돌아가셨거든요 좀 늦었어요,배경/부모/어머니/죽음
한국에 돌아오고 나니까 아차 싶더라,배경/귀국
세부적으로 무슨 일이 있었는지는 모르겠고 그냥 두루뭉실한 느낌만 남아 있어,증상/기억력저하
그런데 아무래도 사람이 떠드는 소리가 아닌 거 같아,증상/환청
불안감이 사라지질 않아요,감정/불안감
이 버릇 좀 어떻게 고치고 싶어서 와봤어요,내원이유/치료
독한 마음 먹으니까 영어가 빠르게 늘더라고요,배경/공부
여자친구는 소개팅으로 만났거든요,배경/여자친구
솔직히 진짜 충격이었지,감정/충격
혀가 목구멍을 막고 있는 거 같아요,증상/호흡곤란
지금 다시 돌아가면 뭘 웃냐고 욕이라도 해주고 싶은데 그 땐 그럴 수도 없었어,모호함
그래서 몇 달 동안 아예 거기 숙소에서 지내면서 일을 했어,배경/직장
심할 땐 쓰러질 것 같을 때도 있었어,증상/기절예기
중간 쯤 되는 자리에 앉아서 수업을 듣는데 목이 너무 떨려서 꼭 머리가 떨어질 거 같은 거예요,증상/신체이상/목
숨이 잘 안 쉬어지는 느낌도 들고요,증상/호흡곤란
근데 그 때 사무실에 저밖에 없었거든요 아무도 없는데 들렸어요,증상/환청
무조건 굶어서 뺀 건 아니고 운동도 하고 식이도 했지,배경/건강문제/다이어트
그럼 그냥 나와야 돼 절대 못 해,배경/문제
그렇게 말하는 인간들이 날 행복하게 해주지 않으니까 신경 안 쓰기로 했어,감정/생각
년 이상 알고 지낸 친구도 없고 남친도 엄청 짧게 사귀었어요,배경/남자친구/짧은교제
오빠가 올해 자기 학원을 차리게 됐거든,배경/남편/사업
학교에서 연탄을 떼던 건 내가 유일할 정도로 가난했지,배경/어린시절/가난
원래 성격이 좀 내성적이고 소심한 편이긴 해,배경/성격/소심
계속 이럴까 봐 너무 걱정돼,감정/걱정
그냥 조용히 없어지는 게 내가 더 편할 것 같아,감정/부정적사고
결혼한 지는 한 년 됐어,배경/결혼
난 계속 공부를 해서 박사까지 따고 싶거든,배경/학업
장난이라고 하는데 자꾸 생각나고 신경 쓰여요,감정/과민반응
뭔가 하루종일 이렇게 들뜬 기분이다 보니까 잠도 잘 안 와,증상/불면
물구나무 서면 피가 머리로 쏠리잖아요 그게 내내 계속되는 느낌 ,증상/어지러움
시험을 완전히 망쳐서 가고 싶었던 대학에 못 들어갔어요 ,배경/대학/실패
학생 때는 친구들과 함께 있고 몸이 아파도 금방 회복되고 괜찮았는데 직장인이 되니까 그렇게 안 되더라고요,배경/건강문제
잡일은 너무 많고 일에 만족감이 하나도 없는 거야,배경/직장/불만/업무
지금 만나는 친구들은 딱 두 명 밖에 없어요 한 명은 고등학교 때 한 명은 대학교 때,배경/친구
자존감이 엄청 낮아요,감정/자존감저하
자꾸 마음이 불안해,감정/불안감
내가 속마음을 털어 놓을 수 있는 친구가 걔였는데 만날 수가 없지,배경/친구
집까지 다 올라가지도 못하고 중간에 주저앉아버렸어요,증상/기절예기
친구들이 저를 보면 밥좀먹고 다니라고 항상 말할정도에요,증상/체중감소
지금 다니는 회사가 만족스러워서 오래 다녔기보다는 다른데 가도 똑같을 것 같아서요,배경/직장
뭔가 그러면 자기만의 정신 세계가 있는 애 같고 그렇잖아,모호함
물론 지금도 일 하는 건 재밌긴 해,배경/직장
그리고 별 거 아닌 말에도 내가 되게 예민하게 굴고,감정/과민반응
중학생 때는 그래서 일진들이랑 같이 다니고 그랬어,배경/학교
어이가 없죠,감정/분노
막 내 감정을 내가 주체 못 한다나 화 내는 게 뭔가 평소랑 다르대,감정/감정조절이상/화
이해를 해보려고 해도 섭섭한 마음까지는 어떻게 할 수가 없었어요,감정/서운함
스스로가 나무 토막 같아요,증상/무기력
평소에도 불안하고 떨려요,감정/불안감/긴장
그건 내 탓이 아니잖아요,감정/억울함
연애 결혼이 아니어서 그런가,배경/결혼
그러면 안 되니까 막 피했죠 안 된다 안 된다 계속 생각하면서,증상/반복사고
피가 날 때까지 손톱을 물어뜯어야 속이 시원해,증상/자해
그렇다고 일을 안할수도 없는데걱정이 이만 저만이 아니야,감정/걱정
병원에서는 별 이상 없다고 그러더라고요,치료이력/병원내원/이상없음
귀에서 삐 하고 이상한 소리가 주기적으로 들리기 시작했어요,증상/이명
불이 꺼지면 귀신이 나타날 것 같고길에 혼자 다니면 누가 때릴 것 같고,증상/피해망상
방금 제가 무슨 말을 한 건지도 잊어버릴 정도로 좀 심해요,증상/기억력저하
혼자 공부할 때 머리카락을 뽑는 습관이 있어,배경/문제/머리카락/털뽑기
최근에 남자친구랑 헤어졌어,배경/남자친구/이별
그러다 아이가 생겼어요,배경/임신
친구가 자존심이 상한건지갑자기를 나를 아예 피하더라고,배경/친구/관계소원
그래도 못 간 건 아니에요 가긴 갔어요,모호함
딱히 슬픈 일도 없는데 자꾸 이러니까 내가 너무 이상한 것 같아,증상/이인감
산소가 다 없어질것 같은 느낌이야,증상/호흡곤란
너무 짜증나,감정/짜증
정말 너무 골치 아파요,감정/심란
요즘에는 딱히 그렇게까지 위험하진 않고 건강하게 잘 지내요,상태/양호
부모님이 이혼하신 후에 휴가를 받아서 본가에 내려갔거든,배경/부모/이혼
저도 이게 다른 사람한테 편한 성격은 아니라는 거 알고 있어요,배경/성격
이렇게 살아봤자 계속 고통스러운데 의미가 있을까 ,감정/부정적사고
일 주일에 번은 술을 먹는 것 같아요 한 번 먹을 때마다 소주 한 병 반 정도,배경/음주/알코올의존
잠을 좀 오래 자고 싶어,증상/불면
민원 부서이다 보니까 불만 고객들을 많이 상대하고 있거든요,배경/직장
인생은 살 빼기 전 후로 나뉜다더니 그 말이 정말 맞는 것 같았어요,배경/건강문제/다이어트
이 때부터 식사도 잘 못 하고 매일 잠도 못 자요,증상/식욕저하/불면
근데 이 나이대 애들이 다 그렇지 않나 뭐 나도 그 정도였던 것 같아,모호함
좋기도 했는데 굉장히 죄책감이 들었어요,감정/죄책감
자려고 누우면 자꾸 그게 생각이 나서 모르겠다 나도,모호함
점점 나 자신을 컨트롤하지 못하는 기분이야,감정/감정조절이상
기력이 없어요,증상/무기력
시내를 나가려면 버스 타고도 분은 가야 하는 곳이었어,부가설명
그게 아니면 제가 어제 뭐 족발을 시켜먹었고 그런 걸 다른 사람들이 어떻게 알아요,증상/피해망상
일단 고소는 좀 더 생각해보기로 했는데 그 날 너무 충격을 받았어요,감정/충격
그 이후로 쭉 일본에서 살고있었어요,배경/생활/해외
근데 또 원하는 대학에 떨어진거야 그래서 마지막이라고 생각하고 다시 해보기로 했어,배경/대학/실패/재수
제가 유투브에서 먹방을 하거든요,배경/생활
좀처럼 생리날짜를 종잡을 수가 없어,배경/건강문제/생리불순
너무 안 먹으니까 한 달에 키로그램씩 빠져서 지금은 키로까지 내려갔어,증상/체중감소
나중에는 맛이 안 느껴져도 안 먹으면 불안해서 먹어요 ,증상/폭식
평소에도 이런 적이 많아요,상태/증상지속
코 골고 자는 꼴도 너무 보기 싫어요,감정/미움
솔직히 공부도 별로고 그냥 돈을 빨리 버는게 나을것 같았어,배경/공부/부진
손가락 하나 까닥하기도 싫다,증상/무기력
정말 로또라도 됐으면 좋겠다,배경/경제적문제
빌면 받아줄 줄 알았는데 칼같이 안 받아주더라,부가설명
지금도 아마 누구 시켜서 저를 지켜보고 있을지도 몰라요,증상/피해망상/감시
무서워서 바로 택시를 불러서 응급실으로 갔어,치료이력/응급실
어떤 방법으로 죽는 게 덜 아플까,감정/자살충동
그냥 뭐 맨날 똑같은 말 또 들었지,모호함
일하는데 집중력도 떨어지고 생활이 안되는것 같아,증상/집중력저하
세상이 빙글빙글 돌아가는 줄 알았어요,증상/어지러움
가끔은 친구들 얼굴도 이상하게 보일 때가 있어요,증상/반복사고
보통 하루에 병씩은 먹는 거 같아요,배경/음주/알코올의존
친구들이랑 기분전환 삼아 일본에 놀러 갈 때까지만 해도 괜찮았거든요,배경/생활/여행/해외
그래도 여전히 남들처럼 넉넉한 살림은 아니야,배경/경제적문제
근데 지난 번에 학교 가려고 셔틀을 탔는데 갑자기 엄청 불안한 거예요,감정/불안감
그렇지만저도 여자고외로우면 기댈 곳이 필요하다구요,감정/외로움
그렇다고 움직이지 않고 가만히 있을 수도 없는데 뭘 어떻게 해야하는건지,감정/심란
내가 너무 앞서가니까 외로워,감정/외로움
그리고 자꾸 나를 빤히 쳐다봐 진짜 사람 짜증날 정도로,감정/짜증
요즘 제일 많이 쓰는 말이 그거 뭐였더라 야,증상/기억력저하
서울 올라가서도 성적이 그런대로 괜찮았어요,배경/학업/양호
남편은 저를 도와주지 않으면서 아이만 신경 쓴다고 하고,배경/남편/관계소원
근데 딱히 일상생활에 지장이 있는 건 아니에요,상태/양호
빈속이어도 속이 안 좋을 수 있긴 한데 그렇다고 밥을 아예 안 먹은 것도 아니거든요 ,증상/메스꺼움
일주일내내 잠도 못자고 있으니까 룸메가 이러다 너 죽는다고 수면유도제를 주더라 ,증상/불면
내가 일을 할 수 있는 상황도 아니라하루하루가 걱정이더라고,감정/걱정
귀에서 계속 시계 초침 돌아가는 소리가 나더라고요 ,증상/환청
퇴근하고 집에 오면 혼자야 그냥 나 혼자 자취하는 느낌,배경/생활/혼자
밥맛이 없어서 몸무게도 이나 빠졌어,증상/식욕저하/체중감소
좋은 거든 나쁜 거든 극단까지 끌고 가니까,배경/성격/극단적
결국 영업 일이다 보니 스트레스 받기도 했지만 사람들과 대화하는 일을 좋아해서 적성에 맞다고 생각했어요,배경/직장/양호
친구처럼 잘 지내다가 제가 너무 조건을 잰다는 이유로 헤어졌어요,배경/연애/이별
살에 지금 남편을 만나 결혼했는데 일을 그만두고 싶지는 않았어요,배경/결혼
저도 꼭 그럴 것만 같아서 너무 두려워요,감정/두려움
내가 쫌만 버텼으면 학위를 따는 건데 내가 그걸 못 참아서 ,감정/후회
중 때 였어 불과 열여섯,배경/어린시절
집에만 있으니 우울하기도 하고 남편 도와줄 겸해서 가게에 취직을 했어요,배경/취업
사람들은 다 죽어야 한다고 생각해,감정/부정적사고
다른 애들도 다 졸고 있는데 저한테만 왜 자냐고 혼내키고,배경/학교/갈등/선생님
그 짓도 한두 번이지,감정/힘듦/지침
다행히 주변 사람들이 신고를 해줘서 응급실로 바로 갔어요 ,치료이력/응급실
알바하는 중에 그 오빠 페북에 들어가봤는데 약간 나한테 쓴 거 같은 글이 있는 거야,증상/과대망상
생각만 해도 가슴이 막 아리고 쓰리고 찌릿하고,증상/가슴통증
그리고 또 요즘들어 기억력이 자꾸 떨어지는 것 같아 ,증상/기억력저하
피곤해,증상/피로
근데 내가 세 번까지도 참아줘야 하냐 저 새끼 절대 정신 못 차려,배경/남편
그런데 고등학생 되고 나니까 이제는 머리까지 아파,증상/두통
내 인생제대로 꼬인 것 같아 ,감정/부정적사고
사람 빽빽이 들어찬 교실에 앉아 있다 보면 너무너무 답답해,감정/답답/사람많은곳
학교 다닐 때부터 그랬던 것 같아요 남한테 싫은 소리 듣기 싫어서 엄청 신경쓰면서 살았던 것 같아요       ,배경/성격/완벽추구
그런데 그렇지 않거든요 사실 너무 예민해서 집에 오면 히스테리를 부려요,배경/성격
토하지도 않고 그냥 먹기만 해,증상/폭식
어쩔 수 없이 회사는 그만 두었어요,배경/직장/퇴사
인생이 허무해,감정/허무함
이도 저도 못하니까 스스로 좀 한심하다는 생각도 해,감정/의기소침/자격지심
그게 뭔 지도 모르겠는데 쟤가 좋다고 한 거니까 아마 별로겠지,모호함
누가 나 대신 해줬으면 좋겠어,감정/힘듦
처음 사귄 남친은 같은 과 선배였어요,배경/전연인
진짜 다 남편이 올린 거예요 예전에 동창회 사이트 보여줬거든요,증상/피해망상/남편
오히려 자기가 뭘 잘못했냐면서 배 째라는 듯이 나오니까 더 화가 나는 거예요,감정/화
니가 알긴 뭘 알어,감정/분노
나한테 무슨 이상이 있는 건 아닐까,배경/자각/정신질환
이런저런 생각 하다 보면 시간이 훌쩍 지나요 ,증상/불면/생각많음
근데 진짜 새 때문에 미치겠다,감정/공포/새
아들은 계속 한국에서 생활하고 있어,배경/자녀
이러면 안된다는 걸 아는데 다들 너무 쉽게 회사 다니려는 게 눈에 보여서 울컥할 때가 많아,감정/짜증
항상 감시 당하고 있는 기분이 들어요,증상/피해망상/감시
주변에 별로 사귀고 싶은 사람이 없어,배경/남자친구/없음
그리고 나서 깨고 별 생각 없었는데 그 후부터 눈이 잘 안 보여,증상/시력저하
내가 요즘 그렇게 걱정을 많이 했나,감정/걱정
남편이 사업을 해서 그렇게 자주 다닐 수밖에 없었거든요,배경/남편/사업
그래서 방학 때 여친 자취방에서 계속 같이 지냈어요,배경/여자친구/동거
요즘 회사에서 스트레스가 많아요,배경/직장/스트레스
현실적으로 그럴 수 있을 것 같지 않아서 너무 우울해,감정/우울감
엄청 피곤해서 누워도 정신은 말똥말똥하고 새벽까지 뒤척거리고,증상/피로/불면
이렇게 사느니 죽는게 나을것 같아,감정/부정적사고
새벽이 되도록 잠을 못 자는 날이 많아요,증상/불면
맨날 짜증이 나네요,감정/짜증
병원에서 몸에 큰 이상이 있다고 하면 어떡하죠,감정/걱정/건강염려
그리고 잠도 잘 못 자요,증상/불면
방에 틀어박혀 있어요,증상/은둔
사고난 이후로 차 탈 때 조수석에는 안 타게 되더라,감정/두려움/자동차
몇 년 전부터 깊은 잠은 못 자고 있어,배경/문제/불면
주변에서 괜찮다고 아무 일 없다고 하는데 저는 계속 불안했어요,감정/불안감
많이 벌긴 했는데 거의 버는 만큼 돈이 병원비로 다 나간 거야,배경/직장
처음엔 모기인가 싶었는데 아니었어 그냥 그 소리가 들리는 거야,증상/이명
엄마는 이혼하고 집을 나가서 아빠랑 동생이랑 셋이서 살았어,배경/부모/이혼
그러니까 세 달 사이에 몸무게가 가 찌더라,증상/체중증가
 내가 무슨 행동을 하든 어딜 가든 따라다녀서 아무것도 할 수가 없었어,증상/피해망상/감시
왜 저는 연애가 안될까요 저만 이런것 같아요,배경/남자친구/짧은교제
초등학교 학년 때 아빠가 사라졌던 게 생생히 기억나요,배경/부모/가출/아버지
나는 그게 부모가 할 소리인지 모르겠다,배경/부모/갈등
결국엔 점심시간에 다시 집에 가서 확인하고 왔다니까요,증상/반복행동/확인
나 혼자 살자고 이렇게 해도 될까,감정/비관적
진짜 너무 괴로워서 다 놓아버리고 싶어요,감정/괴로움
근데 그거 먹은 후부터 진짜 속이 너무 쓰린 거야,증상/속쓰림
딱딱하고 재미 없을 줄 알았는데 영어를 회화로 배우니까 제법 재미가 있더라,배경/생활/취미
이게 언제 어디에서 다시 나타날지 모르겠어서 너무 불안했어요,감정/불안감/증상재발
비둘기는 진짜 많이 보이잖아 사람이 다가와도 안 피하고 몸은 뚱뚱해서 뒤뚱뒤뚱 생각만 해도 너무 싫어,감정/공포/새
이래서 장소가 사람에게 중요하다는 생각을 하게 되요,감정/생각
남편이 술을 많이 마시는 편이야 ,배경/남편/과음
애들 생각해서 힘을 내야 하는데 잘 안되는것 같아요,감정/힘듦
미친 인간이 어제 또 술을 진탕이 되도록 마신 거야,배경/남편/과음
내가 를 하게 됐는데 처음이라 너무 긴장이 되는 거야,감정/긴장
아침마다 속에서 뭔가 꽉 막힌 게 느껴져서 답답하고 별 일 없는데도 가슴이 떨려요,증상/가슴답답
연애 결혼한 지 년 됐어,배경/결혼
잠도 안 오고 자고 싶은 맘도 없어,증상/불면
다른 남자애랑 사귀는 것도 싫고 그냥 나랑만 계속 단짝 해줬으면 좋겠어,배경/친구
이게 좀 약간 강박 같은 것 같아서 상담 받으면 괜찮을까 싶은데 어때,모호함
남자친구 없는 게 고민이에요,배경/남자친구/고민/없음
좋다고 하는 병원들은 다 찾아갔거든,치료이력/병원내원
영적으로 저를 이끌고 있다는 느낌이 들어요,배경/종교
현관문을 잠갔는지 한 번 이상은 확인해야 마음이 놓여요,증상/반복행동/문단속
몇 달 간 밥을 제대로 못 먹었어요,증상/식욕저하
처음엔 진짜 잘할 수 있을 거라 생각했는데생각보다 세상이 녹록지 않더라구요,감정/부정적사고
근데 그럼 나는 왜 아픈 거지,증상/통증
발이 허공에 떠 있는 거 같아요,감정/불안감
자도 잔 것 같지 않아,증상/불면
내가 이렇게 노력해도 돈으로 밀어붙이는 애들을 이길 수 있을까 싶더라,감정/좌절
그래도 맨날 죽고 싶단 생각은 해,감정/자살충동
밖에 나가면 다 저를 쳐다보고 욕하고 그럴 것 같아서,증상/피해망상
전문대 졸업하고 바로 취업했습니다,배경/취업
제가 무슨 말을 했는데 상대방이 반응이 미적지근하거나 대답이 시원찮으면 또 말하게 돼요 ,증상/반복행동/대화
그래서 나도 어렸을 때부터 당연히 법조인이 돼야 한다고 생각했어,배경/어린시절
그런데 살아보니까 그렇지도 않아요,모호함
그래도 조마조마할 때가 있긴 해,감정/초조함
근데 놀라는 게 내 마음대로 되는 것도 아니잖아,모호함
걱정이 이만저만이 아니야,감정/걱정
그래서 말도 안 되는 소리 하지 마라 이랬는데 아니래요 맞대요,모호함
결국 학교를 관뒀어,배경/학교/자퇴
딱히 잘 되진 않고 오히려 더 기운만 빠지는 것 같아요 아무 것도 못 하겠어요,증상/무기력
여친은 부산에 남고 저는 서울로 올라왔는데 그러면서 더 힘들어진 것 같아요,감정/힘듦
너무 죽고 싶은데 자살을 시도해 본적은 없어요,감정/자살충동
아무래도 우울증이 생긴 거 같아,배경/자각/우울증
나는 결국 집에 걸어서 와 짜증나는데 안 고쳐져,감정/짜증
요즘 그런 생각이 들어 뭘 위해서 사는 걸까 ,감정/부정적사고
나도 내가 바보같다는 거 알아,감정/생각
눈앞에 베란다가 보이면 저기로 내가 떨어져서 죽으면 어떨까 그런 생각이 계속 머릿속을 맴돌아,감정/자살충동
분명 몸은 졸린데 누우면 눈이 말똥말똥해,증상/불면
